name,price
"PC Portable Asus ZenBook UX561UN-BO017T 15.6""",999
"PC Ultra-Portable Lenovo IdeaPad 320-14ISK 80XG0060FR 14""",409
"HP EliteBook 840 G3 - 14"" - Core i5 6200U - 4 Go RAM - 256 Go SSD",1759
"PC Ultra-Portable Asus R414BA-GA070T 14""",399
"PC Ultra-Portable Lenovo 120S-14IAP 14""",399
"PC Portable Asus ROG Strix GL703VD-GC066T 17.3"" Gaming",1079
"PC Portable Acer Aspire 3 A315-21-97HC 15.6""",349
"PC Portable HP Omen 17-an125nf 17.3"" Gaming",
"PC Ultra-Portable HP Notebook 14-bp021nf 14""",344
"PC Hybride Asus ZenBook FP-C4343T 13.3"" Tactile",118489
"PC Ultra-Portable HP Envy 13-ad024nf 13.3""",1109
"PC Portable MSI GV62 8RE-023FR 15.6""",1209
"PC Portable Acer Aspire E15 E5-576G-514F 15.6""",45690
"PC Hybride Acer Spin 3 SP314-51-34YA 14"" Tactile",
"PC Ultra-Portable Lenovo IdeaPad 100s-14IBR 14""",229
"HP ProBook 470 G3 - 17.3"" - Core i7 6500U - 8 Go RAM - 1 To HDD",1295
"PC Ultra-Portable Acer Aspire 1 A114-31-C7L8 14""",179
"PC Portable Lenovo IdeaPad 320-15IKBN 15.6""",499
"Acer Swift 7 SF713-51-M8EJ - 13.3"" - Core i5 7Y54 - 8 Go RAM - 256 Go SSD",997
"Pack Fnac PC Portable Lenovo 320-15IAP 80XR00XMFR 15.6"" + Sac Targus Classic Clamshell Noir + Souris optique sans fil Microsoft 3500 Noir",489
"PC Ultra-Portable Asus ZenBook UX331UA-EG029T 13.3""",
"PC Portable Acer Aspire 5 A515-51G-367N 15.6""",469
"PC Portable Lenovo IdeaPad 320-15AST 15.6""",469
"PC Hybride Lenovo Yoga 310-11IAP 11.6"" Tactile Intel Pentium 64 Go",299
"Acer Aspire A515-51G-39TX PC Portable 15,6"" Noir (Intel Core i3, 8 Go de RAM, 1 To, NVIDIA GeForce 940MX 2Go, Windows 10)",449
"Asustek 90NB0GM2-M02910 Ordinateur Portable Hybride 17,3"" Noir (Intel Core i5, 8 Go de RAM, 1 To, Nvidia GeForce GTX1050) Clavier AZERTY français",889
"Acer Chromebook R 13 CB5-312T-K62F - 13.3"" - MT8173 - 4 Go RAM - 64 Go SSD",441
"Acer Swift 5 SF514-51-77W2 14 "" HDD 256 Go RAM 8192 Mo",990
"Toshiba Satellite Pro A50-C-205 - 15.6"" - Core i5 6200U - 8 Go RAM - 1 To HDD",869
HP PB450G5 i5-8250U 15 8GB/1T PC,1009
"PC Ultra-Portable Lenovo IdeaPad 120S-14IAP 81A500DEFR 14""",259
"PC Ultra-Portable HP Stream x360 11-aa000nf 11.6"" Tactile",239
"HP ProBook 640 G2 - 14"" - Core i5 6200U - 4 Go RAM - 500 Go HDD",863
"PC Ultra-Portable Lenovo IdeaPad 120S-14IAP 81A500BFFR 14""",409
PC Portable HP 15-da0033nf 15.6”,
"Asustek 90NB0E83-M11440 Ordinateur Portable Hybride 15,6"" Argent (Intel Pentium_4, 4 Go de RAM, 1 To, Windows 10 Home) Clavier AZERTY français",427
"Asustek X405UA-BV516T Ordinateur Portable Hybride 14"" Gris (Intel Core i3, 4 Go de RAM, 1 To, Windows 10 Home) Clavier AZERTY français",421
"PC Portable Lenovo IdeaPad 320-15IAP 80XR00XMFR 15.6""",406
"PC Hybride Teclast Tbook 10S 10.1"" 4G+64G Ultrabook Win10+Android 5.1 2 en 1",136
"PC Portable HP Pavilion 17-ab200nf 17.3""",805
"PC Portable HP 15-bw055nf 15.6""",378
Ordinateur portable Tecra A50-C-1ZQ Toshiba,773
"Pack Fnac PC Ultra-Portable HP Pavilion 14-bf018nf 14"" + Housse de protection Spectrum Noir + Souris sans fil 200 Argent vif",729
"PC Ultra-Portable Acer Aspire ES11 ES1-132-C6LG 11.6""",209
"Asus R541UJ-GO686T PC portable 15"" Gris métal (Intel Core i7, 4 Go de RAM, Disque dur 1 To, Nvidia GeForce 920M 2G, Windows 10) [Ancien Modèle]",746
"PC Portable Asus FX503VD-DM085T 15.6""",759
"PC Portable HP Pavilion 15-cx0008nf 15.6"" Gaming",
"PC Portable Acer ASPIRE 3 A315-51-34HU 15.6""",399
"HP ProBook x360 11 G1 - Education Edition - 11.6"" - Pentium N4200 - 4 Go RAM - 128 Go SSD - français",742
"Acer Aspire E 15 E5-575G-543V - 15.6"" - Core i5 7200U - 8 Go RAM - 1 To HDD",753
"Asustek 90NB0F22-M07870 Ordinateur Portable Hybride 15,6"" Gris (Intel Core i5, 8 Go de RAM, 1 To, Windows 10 Home) Clavier AZERTY français",675
MacBook Pro 13.3 pouces A1278 Intel Core i5 2012,629
"PC Portable Lenovo IdeaPad 320-15ABR 80XS00DGFR 15.6""",639
"HP 2LC13EA#ABF Ordinateur Portable Hybride 15,6"" Noir (AMD, 4 Go de RAM, 500 Go, Windows 10 Home) Clavier AZERTY français",299
"PC Ultra-Portable Lenovo IdeaPad 320-14IKBN 80XK013QFR 14""",589
PC Portable HP 15-bw019nf - 2KF27EA - AMD A9 9420 3 GHz - 8 Go RAM - 128Go SSD + 1To HDD - AMD Radeon 520 2 Go - Win 10 64 bits,569
"PC Ultra-Portable Lenovo IdeaPad 330S-14IKB 81F400QUFR 14""",
"ORDISSIMO Lucie - 15.6"" - Pentium N3700 - 4 Go RAM - 32 Go SSD + 500 Go HDD",549
"Asustek 90NB0GF2-M04340 Ordinateur Portable Hybride 14"" Gris (Intel Core i3, 4 Go de RAM, 500 Go, Windows 10 Home) Clavier AZERTY français",549
"PC Ultra-Portable Lenovo IdeaPad 320S-14IKBR 81BN008TFR 14""",509
"Dell Vostro 3568 PC portable 15,6"" HD Noir (Intel Core i5, 4 Go de RAM, Disque Dur 500 Go, Intel HD 620, Windows 10 Professionnel)",558
"Acer NH.GM2EF.014 Ultrabook 15,6"" Noir (Intel Core i5, 8 Go de RAM, SSD 128Go + 1 To , Nvidia GeForce GTX 1050, Windows 10) Clavier Français AZERTY",1106
"PC Portable Asus R540YA-GK576T 15.6"" Tactile",469
"PC Ultra-Portable HP 14-bp017nf 14""",469
"PC Portable Lenovo IdeaPad 320S-15AST 80YB0010FR 15.6""",469
